run_id,source_step,phase,pair_id,condition_side,condition,workload_id,repetition,safety_enabled,attempt,duration_seconds,forecast_aligned_seconds,mae_rps,rmse_rps,bias_rps,transition_mae_rps,desired_replica_mae,desired_replica_bias,deficient_replica_seconds,excess_replica_seconds,ready_deficient_replica_seconds,scale_action_count,scale_up_action_count,scale_down_action_count,churn_magnitude_replicas,slo_violation_seconds,slo_violation_rate,slo_episode_count,maximum_slo_episode_seconds,latency_violation_seconds,failure_violation_seconds,completion_violation_seconds,request_count,request_p99_latency_ms,request_failure_count,request_failure_rate,mean_cpu_cores,max_cpu_cores,mean_readiness_delay_seconds,max_readiness_delay_seconds,readiness_delay_observations,pod_created_count,pod_ready_transition_count,ready_source,pod_event_source,normalized_kubernetes_record_coverage_ratio,kubernetes_snapshot_valid_ratio
final-p01-b-r01-s0,step15,primary,pair-01-direction_bias,b,persistent_positive_bias,sustained-peak-v1,1,False,1,360,354,5.0,5.0,5.0,5.0,0.0,0.0,0,0,0,4,1,3,6,43,0.11944444444444445,43,1,0,0,43,15300,39.572190000000006,0,0.0,0.541199226306991,0.8390090010026963,1.0,1,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9861111111111112,1.0
final-p06-b-r01-s0,step15,primary,pair-06-timing_periodic,b,late_event,periodic-triangle-v1,1,False,1,720,714,6.5294117815126045,7.361835586127132,0.0,7.667916686666666,0.4583333333333333,0.0,165,165,112,22,11,11,22,127,0.1763888888888889,123,2,0,0,127,28500,38.23611999999998,0,0.0,0.5163864053407123,0.7535474865956926,1.1818181818181819,2,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9972222222222222,1.0
final-oracle-periodic-r01-s0,step15,reference,reference-oracle,reference,oracle,periodic-triangle-v1,1,False,1,720,714,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,22,11,11,22,113,0.15694444444444444,104,2,0,0,113,28500,35.93412999999998,0,0.0,0.5185426733689117,0.7552769717843282,1.1818181818181819,2,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9972222222222222,1.0
final-p04-b-r01-s0,step15,primary,pair-04-location,b,transition_period_error,gradual-ramp-v1,1,False,1,480,474,1.0126582278481013,2.8462722678592804,1.0126582278481013,1.6,0.1375,0.1375,0,66,0,6,3,3,6,71,0.14791666666666667,66,2,0,0,71,19350,37.147529999999996,0,0.0,0.5244234288583636,0.8427781095558877,1.3333333333333333,2,3,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p05-a-r01-s0,step15,primary,pair-05-shape,a,sharpened,periodic-triangle-v1,1,False,1,720,714,0.29956431372549036,0.7266810425875311,1.3932210505100003e-16,0.33865745666666686,0.0,0.0,0,0,0,22,11,11,22,123,0.17083333333333334,119,2,0,0,123,28500,36.203039999999994,0,0.0,0.5037434703313202,0.7395186901930744,0.9090909090909091,3,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9847222222222223,1.0
final-p07-a-r01-s0,step15,primary,pair-07-timing_spike,a,early_event,narrow-spike-v1,1,False,2,180,174,4.022988505747127,11.866111313364181,0.0,0.0,0.3333333333333333,0.0,30,30,0,4,1,3,6,21,0.11666666666666667,21,1,0,0,21,5550,35.60655,0,0.0,0.3603989788135288,0.6618829711617367,1.0,1,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9944444444444445,1.0
final-p03-b-r02-s0,step15,primary,pair-03-event_presence,b,missed_peak,narrow-spike-v1,2,False,1,180,174,6.0344827586206895,14.532958974404494,-6.0344827586206895,17.5,1.0,-1.0,180,0,98,0,0,0,0,58,0.32222222222222224,19,36,33,26,34,5550,5354.7899800000005,711,0.1281081081081081,0.3014528219304052,0.48918508878859285,,,0,0,0,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p07-b-r02-s0,step15,primary,pair-07-timing_spike,b,late_event,narrow-spike-v1,2,False,1,180,174,4.022988505747127,11.866111313364181,0.0,35.0,0.3333333333333333,0.0,30,30,19,4,1,3,6,20,0.1111111111111111,12,8,8,5,13,5550,2115.90071,116,0.020900900900900903,0.34375499253991604,0.6397977194529606,2.0,2,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p03-a-r02-s0,step15,primary,pair-03-event_presence,a,false_peak,narrow-spike-v1,2,False,1,180,174,6.0344827586206895,14.532958974404494,6.0344827586206895,0.0,0.6666666666666666,0.6666666666666666,0,120,0,4,1,3,6,14,0.07777777777777778,14,1,0,0,14,5550,33.767950000000056,0,0.0,0.36127726798050236,0.6948595571927648,2.0,2,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p07-a-r02-s0,step15,primary,pair-07-timing_spike,a,early_event,narrow-spike-v1,2,False,1,180,174,4.022988505747127,11.866111313364181,0.0,0.0,0.3333333333333333,0.0,30,30,0,4,1,3,6,17,0.09444444444444444,17,1,0,0,17,5550,34.62610000000001,0,0.0,0.35137632919880313,0.6809162622483783,0.0,0,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.95,1.0
