candidate_id,group,side,semantic,trace_id,mae_rps,rmse_rps,signed_bias_rps,maximum_absolute_error_rps,region_mae_rps,changed_decisions,peak_timing_error_s,peak_amplitude_error_rps,duration_error_s,parameters_json,forecast_path,forecast_sha256
sustained-peak-v1__duration__extended__duration_s-10,duration,extended,extended_peak,sustained-peak-v1,0.972222222222,5.83333333333,0.972222222222,35,35,10,0,0,10,"{""duration_s"":10}",candidates/duration/extended/sustained-peak-v1__duration__extended__duration_s-10.forecast.csv,3d6031b09cc6ed7a12460550db46e567237767e2af444464eef9664d2367e58a
sustained-peak-v1__duration__shortened__duration_s-20,duration,shortened,shortened_peak,sustained-peak-v1,1.94444444444,8.24957911384,-1.94444444444,35,35,20,0,0,-20,"{""duration_s"":20}",candidates/duration/shortened/sustained-peak-v1__duration__shortened__duration_s-20.forecast.csv,e43c0bdd971419eb93e1bb7382d9cf9dd5f5fe414ca68808afc10fe595bf6ebc
sustained-peak-v1__duration__extended__duration_s-20,duration,extended,extended_peak,sustained-peak-v1,1.94444444444,8.24957911384,1.94444444444,35,35,20,0,0,20,"{""duration_s"":20}",candidates/duration/extended/sustained-peak-v1__duration__extended__duration_s-20.forecast.csv,26fd0a80e753ac508de90ef8e3064af2bb7ad6a2694bb317a0ee89c9f09c03af
sustained-peak-v1__duration__shortened__duration_s-30,duration,shortened,shortened_peak,sustained-peak-v1,2.91666666667,10.1036297108,-2.91666666667,35,35,30,0,0,-30,"{""duration_s"":30}",candidates/duration/shortened/sustained-peak-v1__duration__shortened__duration_s-30.forecast.csv,eaaa7161e9fc2d52b83b57c46a2e1fb7e79cbd9ddbd3e12e600e4fdac030292b
sustained-peak-v1__duration__extended__duration_s-30,duration,extended,extended_peak,sustained-peak-v1,2.91666666667,10.1036297108,2.91666666667,35,35,30,0,0,30,"{""duration_s"":30}",candidates/duration/extended/sustained-peak-v1__duration__extended__duration_s-30.forecast.csv,3afdd36b51f5b1fb5ed0fc80932971791ce776494b16963b45c7bcbdb45ea3ee
sustained-peak-v1__duration__shortened__duration_s-45,duration,shortened,shortened_peak,sustained-peak-v1,4.375,12.3743686708,-4.375,35,35,45,0,0,-45,"{""duration_s"":45}",candidates/duration/shortened/sustained-peak-v1__duration__shortened__duration_s-45.forecast.csv,9ee2ba2f6a613db90867caee93593c16edd623dac960ac7acc4371e99f2ce5c6
sustained-peak-v1__duration__extended__duration_s-45,duration,extended,extended_peak,sustained-peak-v1,4.375,12.3743686708,4.375,35,35,45,0,0,45,"{""duration_s"":45}",candidates/duration/extended/sustained-peak-v1__duration__extended__duration_s-45.forecast.csv,9fef45648e0c2769bc1a3f80166e3636d4c593288e77af259913c9ea1fbd432e
sustained-peak-v1__duration__shortened__duration_s-60,duration,shortened,shortened_peak,sustained-peak-v1,5.83333333333,14.2886901662,-5.83333333333,35,35,60,0,0,-60,"{""duration_s"":60}",candidates/duration/shortened/sustained-peak-v1__duration__shortened__duration_s-60.forecast.csv,d85def13fa958dbeaf59e00dab8de9a8f92377d97eba5f4e8e8c84f98684f2af
sustained-peak-v1__duration__extended__duration_s-60,duration,extended,extended_peak,sustained-peak-v1,5.83333333333,14.2886901662,5.83333333333,35,35,60,0,0,60,"{""duration_s"":60}",candidates/duration/extended/sustained-peak-v1__duration__extended__duration_s-60.forecast.csv,33703f4ce8a4c5868e41aa5076fcbbefff8716cf62a09894f67c689d72bc8aad
narrow-spike-v1__event_presence__missed__duration_s-30-magnitude_rps-35,event_presence,missed,missed_peak,narrow-spike-v1,5.83333333333,14.2886901662,-5.83333333333,35,35,30,,-35,-30,"{""duration_s"":30,""magnitude_rps"":35}",candidates/event_presence/missed/narrow-spike-v1__event_presence__missed__duration_s-30-magnitude_rps-35.forecast.csv,0e335e9baa6471aa234c1c9baf99ccbf0f88e4edc5c96decf2a9a22c73bf655d
