trace_id,decision_offset_ms,target_offset_ms,horizon_ms,demand_time_rps,demand_time_oracle_replicas,future_target_rps,decision_time_oracle_replicas,terminal_extension
sustained-peak-v1,0,6000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,1000,7000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,2000,8000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,3000,9000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,4000,10000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,5000,11000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,6000,12000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,7000,13000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,8000,14000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,9000,15000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,10000,16000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,11000,17000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,12000,18000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,13000,19000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,14000,20000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,15000,21000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,16000,22000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,17000,23000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,18000,24000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,19000,25000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,20000,26000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,21000,27000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,22000,28000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,23000,29000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,24000,30000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,25000,31000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,26000,32000,6000,25.000000,1,25.000000,1,false
sustained-peak-v1,27000,33000,6000,25.000000,1,25.000000,1,false
