run,replicas,target_rps,completed,errors,failure_rate,completion_ratio,achieved_rps,average_ms,p50_ms,p95_ms,p99_ms,max_pod_cpu,max_throttle_ratio,pod_count,imbalance_ratio,pass,reasons
confirmatory-r05-20260802-004144,1,55,6600,0,0.0,1.0,55.0,8.606765454545455,8.541,10.047,11.138,0.33148426000050274,0.002466091245376079,1,0.0,True,
confirmatory-r05-20260802-004144,1,60,7200,0,0.0,1.0,60.0,8.848101388888889,8.644,10.461,12.078,0.35657378881823154,0.022817460317460316,1,0.0,True,
confirmatory-r05-20260802-004144,1,65,7800,0,0.0,1.0,65.0,9.377915128205128,9.037,10.829,18.81,0.39741470417547264,0.11661807580174927,1,0.0,False,throttling
confirmatory-r05-20260802-004144,1,70,8400,0,0.0,1.0,70.0,24.13303738095238,9.856,84.386,173.528,0.4595963674268481,0.947239263803681,1,0.0,False,"cpu,throttling"
confirmatory-r05-20260802-004144,1,75,8773,227,0.025222222222222222,0.9747777777777777,73.10833333333333,1052.839951099966,122.262,4087.151,5027.771,0.47528431621504524,0.9921875,1,0.0,False,"p99,failures,throughput,cpu,throttling"
multipod-n2-r01-20260802-202426,2,81,9720,0,0.0,1.0,81.0,10.872034156378602,10.053,14.322,28.218,0.28591581318586856,0.054824561403508776,2,0.03333333333333333,True,
multipod-n2-r01-20260802-202426,2,90,10800,0,0.0,1.0,90.0,10.261180092592593,9.813,12.352,21.202,0.3033692142323088,0.06588735387885228,2,0.003703703703703704,True,
multipod-n2-r01-20260802-202426,2,99,11880,0,0.0,1.0,99.0,14.922741582491584,11.031,39.528,76.315,0.371263657493096,0.32995951417004044,2,0.0013468013468013469,False,throttling
multipod-n2-r02-20260802-203515,2,81,9720,0,0.0,1.0,81.0,8.872290946502059,8.647,10.362,12.13,0.25247895914626856,0.007567567567567567,2,0.029218106995884775,True,
multipod-n2-r02-20260802-203515,2,90,10800,0,0.0,1.0,90.0,10.620977314814814,10.087,13.314,21.204,0.3215489116312785,0.06936416184971098,2,0.035555555555555556,True,
multipod-n2-r02-20260802-203515,2,99,11880,0,0.0,1.0,99.0,12.334165993265993,9.3,25.799,77.763,0.3440466315244845,0.20534069981583797,2,0.013804713804713804,False,throttling
multipod-n2-r03-20260802-204605,2,81,9720,0,0.0,1.0,81.0,8.795690534979423,8.572,10.328,12.235,0.2545673622398852,0.010011123470522805,2,0.003703703703703704,True,
multipod-n2-r03-20260802-204605,2,90,10800,0,0.0,1.0,90.0,10.405248425925926,9.677,12.571,28.562,0.3270067526946652,0.08791208791208792,2,0.011481481481481481,True,
multipod-n2-r03-20260802-204605,2,99,11880,0,0.0,1.0,99.0,9.18290606060606,8.824,10.749,19.239,0.3221320131089156,0.08375893769152197,2,0.030976430976430977,True,
multipod-n3-r01-20260802-205731,3,122,14640,0,0.0,1.0,122.0,11.568872677595628,10.451,15.719,37.561,0.32016417529128754,0.12945368171021376,3,0.01721311475409836,False,throttling
multipod-n3-r01-20260802-205731,3,135,15732,468,0.028888888888888888,0.9711111111111111,131.1,13.337137554030003,11.042,29.036,53.096,0.3573011300439269,0.24152106885919838,3,0.008581235697940504,False,"failures,throughput,throttling"
multipod-n3-r01-20260802-205731,3,149,15715,2165,0.12108501118568232,0.8789149888143176,130.95833333333334,19.465380782691692,11.604,57.891,117.279,0.3499264942650075,0.4222222222222222,3,0.005345211581291759,False,"failures,throughput,throttling"
multipod-n3-r02-20260802-210825,3,122,14640,0,0.0,1.0,122.0,12.047130532786886,10.679,18.386,42.862,0.32098725844001413,0.15308151093439365,3,0.015163934426229509,False,throttling
