trace_id,mutation_id,decision_seq,decision_offset_ms,forecast_target_offset_ms,oracle_rps,forecast_rps,oracle_raw_replicas,forecast_raw_replicas,oracle_commanded_replicas,forecast_commanded_replicas,forecast_action,forecast_scale_down_held
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,42,42000,48000,23.000000,23.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,43,43000,49000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,44,44000,50000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,45,45000,51000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,46,46000,52000,27.000000,27.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,47,47000,53000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,48,48000,54000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,49,49000,55000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,50,50000,56000,23.000000,23.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,51,51000,57000,24.000000,24.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,52,52000,58000,25.000000,25.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,53,53000,59000,26.000000,26.000000,1,1,1,1,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,54,54000,60000,27.000000,37.000000,1,2,1,2,scale_up,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,55,55000,61000,26.000000,36.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,56,56000,62000,25.000000,35.000000,1,2,1,2,none,false
