source_step,phase,pair_id,condition,workload_id,safety_enabled,metric,n,mean,sd,median,q1,q3,iqr
step15,primary,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,False,mae_rps,8,5.0,0.0,5.0,5.0,5.0,0.0
step15,primary,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,False,rmse_rps,8,5.0,0.0,5.0,5.0,5.0,0.0
step15,primary,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,False,transition_mae_rps,8,5.0,0.0,5.0,5.0,5.0,0.0
step15,primary,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,False,desired_replica_mae,8,0.5861111111111111,0.0,0.5861111111111111,0.5861111111111111,0.5861111111111111,0.0
step15,primary,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,False,deficient_replica_seconds,8,211.0,0.0,211.0,211.0,211.0,0.0
step15,primary,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,False,request_p99_latency_ms,8,48.59087375000003,3.693775255163108,47.081155,46.13348750000006,51.01740000000001,4.883912499999951
step15,primary,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,False,slo_violation_seconds,8,24.875,11.506985456048612,23.0,15.75,29.75,14.0
step15,primary,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,False,excess_replica_seconds,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-01-direction_bias,persistent_positive_bias,sustained-peak-v1,False,mae_rps,8,5.0,0.0,5.0,5.0,5.0,0.0
step15,primary,pair-01-direction_bias,persistent_positive_bias,sustained-peak-v1,False,rmse_rps,8,5.0,0.0,5.0,5.0,5.0,0.0
step15,primary,pair-01-direction_bias,persistent_positive_bias,sustained-peak-v1,False,transition_mae_rps,8,5.0,0.0,5.0,5.0,5.0,0.0
step15,primary,pair-01-direction_bias,persistent_positive_bias,sustained-peak-v1,False,desired_replica_mae,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-01-direction_bias,persistent_positive_bias,sustained-peak-v1,False,deficient_replica_seconds,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-01-direction_bias,persistent_positive_bias,sustained-peak-v1,False,request_p99_latency_ms,8,35.73179250000001,2.221801803843962,35.05598500000001,34.64705500000001,36.17373500000001,1.526679999999999
step15,primary,pair-01-direction_bias,persistent_positive_bias,sustained-peak-v1,False,slo_violation_seconds,8,16.625,11.21144185961059,13.0,12.25,16.0,3.75
step15,primary,pair-01-direction_bias,persistent_positive_bias,sustained-peak-v1,False,excess_replica_seconds,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-02-duration,extended_peak,sustained-peak-v1,False,mae_rps,8,2.9661016949152543,0.0,2.9661016949152543,2.9661016949152543,2.9661016949152543,0.0
step15,primary,pair-02-duration,extended_peak,sustained-peak-v1,False,rmse_rps,8,10.188893920442684,0.0,10.188893920442684,10.188893920442684,10.188893920442684,0.0
step15,primary,pair-02-duration,extended_peak,sustained-peak-v1,False,transition_mae_rps,8,17.5,0.0,17.5,17.5,17.5,0.0
step15,primary,pair-02-duration,extended_peak,sustained-peak-v1,False,desired_replica_mae,8,0.25,0.0,0.25,0.25,0.25,0.0
step15,primary,pair-02-duration,extended_peak,sustained-peak-v1,False,deficient_replica_seconds,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-02-duration,extended_peak,sustained-peak-v1,False,request_p99_latency_ms,8,35.03843250000001,2.227922515725934,34.19680000000001,33.657510000000016,36.14450250000002,2.4869925000000066
step15,primary,pair-02-duration,extended_peak,sustained-peak-v1,False,slo_violation_seconds,8,21.0,8.70139561876632,21.5,13.0,23.25,10.25
step15,primary,pair-02-duration,extended_peak,sustained-peak-v1,False,excess_replica_seconds,8,90.0,0.0,90.0,90.0,90.0,0.0
step15,primary,pair-02-duration,shortened_peak,sustained-peak-v1,False,mae_rps,8,2.9661016949152543,0.0,2.9661016949152543,2.9661016949152543,2.9661016949152543,0.0
step15,primary,pair-02-duration,shortened_peak,sustained-peak-v1,False,rmse_rps,8,10.188893920442684,0.0,10.188893920442684,10.188893920442684,10.188893920442684,0.0
step15,primary,pair-02-duration,shortened_peak,sustained-peak-v1,False,transition_mae_rps,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-02-duration,shortened_peak,sustained-peak-v1,False,desired_replica_mae,8,0.25,0.0,0.25,0.25,0.25,0.0
step15,primary,pair-02-duration,shortened_peak,sustained-peak-v1,False,deficient_replica_seconds,8,90.0,0.0,90.0,90.0,90.0,0.0
step15,primary,pair-02-duration,shortened_peak,sustained-peak-v1,False,request_p99_latency_ms,8,1578.827981250002,470.37685216278334,1432.5675350000015,1240.5219325000028,1767.391610000001,526.8696774999983
step15,primary,pair-02-duration,shortened_peak,sustained-peak-v1,False,slo_violation_seconds,8,27.0,9.942692937888753,25.5,19.75,29.75,10.0
step15,primary,pair-02-duration,shortened_peak,sustained-peak-v1,False,excess_replica_seconds,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-03-event_presence,false_peak,narrow-spike-v1,False,mae_rps,8,6.0344827586206895,0.0,6.0344827586206895,6.0344827586206895,6.0344827586206895,0.0
step15,primary,pair-03-event_presence,false_peak,narrow-spike-v1,False,rmse_rps,8,14.532958974404494,0.0,14.532958974404494,14.532958974404494,14.532958974404494,0.0
step15,primary,pair-03-event_presence,false_peak,narrow-spike-v1,False,transition_mae_rps,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-03-event_presence,false_peak,narrow-spike-v1,False,desired_replica_mae,8,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
step15,primary,pair-03-event_presence,false_peak,narrow-spike-v1,False,deficient_replica_seconds,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-03-event_presence,false_peak,narrow-spike-v1,False,request_p99_latency_ms,8,31.49576250000003,3.2189198860476287,32.032450000000054,29.858622500000003,33.740920000000024,3.8822975000000213
step15,primary,pair-03-event_presence,false_peak,narrow-spike-v1,False,slo_violation_seconds,8,12.75,8.224527776283399,10.5,9.5,12.5,3.0
step15,primary,pair-03-event_presence,false_peak,narrow-spike-v1,False,excess_replica_seconds,8,120.0,0.0,120.0,120.0,120.0,0.0
step15,primary,pair-03-event_presence,missed_peak,narrow-spike-v1,False,mae_rps,8,6.0344827586206895,0.0,6.0344827586206895,6.0344827586206895,6.0344827586206895,0.0
step15,primary,pair-03-event_presence,missed_peak,narrow-spike-v1,False,rmse_rps,8,14.532958974404494,0.0,14.532958974404494,14.532958974404494,14.532958974404494,0.0
step15,primary,pair-03-event_presence,missed_peak,narrow-spike-v1,False,transition_mae_rps,8,17.5,0.0,17.5,17.5,17.5,0.0
step15,primary,pair-03-event_presence,missed_peak,narrow-spike-v1,False,desired_replica_mae,8,1.0,0.0,1.0,1.0,1.0,0.0
step15,primary,pair-03-event_presence,missed_peak,narrow-spike-v1,False,deficient_replica_seconds,8,180.0,0.0,180.0,180.0,180.0,0.0
step15,primary,pair-03-event_presence,missed_peak,narrow-spike-v1,False,request_p99_latency_ms,8,4836.928981250002,1089.5096251467712,4886.279835000003,4043.087080000003,5810.978480000001,1767.8913999999977
step15,primary,pair-03-event_presence,missed_peak,narrow-spike-v1,False,slo_violation_seconds,8,62.0,6.25642526870234,59.5,58.0,62.25,4.25
step15,primary,pair-03-event_presence,missed_peak,narrow-spike-v1,False,excess_replica_seconds,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-04-location,stable_period_error,gradual-ramp-v1,False,mae_rps,8,1.0126582278481011,0.0,1.0126582278481011,1.0126582278481011,1.0126582278481011,0.0
step15,primary,pair-04-location,stable_period_error,gradual-ramp-v1,False,rmse_rps,8,2.8462722678592804,0.0,2.8462722678592804,2.8462722678592804,2.8462722678592804,0.0
step15,primary,pair-04-location,stable_period_error,gradual-ramp-v1,False,transition_mae_rps,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-04-location,stable_period_error,gradual-ramp-v1,False,desired_replica_mae,8,0.1145833333333333,0.0,0.1145833333333333,0.1145833333333333,0.1145833333333333,0.0
step15,primary,pair-04-location,stable_period_error,gradual-ramp-v1,False,deficient_replica_seconds,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-04-location,stable_period_error,gradual-ramp-v1,False,request_p99_latency_ms,8,32.977736249999936,3.5078972431966764,31.883624999999938,30.769207499999943,34.76675499999996,3.9975475000000174
step15,primary,pair-04-location,stable_period_error,gradual-ramp-v1,False,slo_violation_seconds,8,64.75,8.564878449642054,60.0,58.75,70.5,11.75
step15,primary,pair-04-location,stable_period_error,gradual-ramp-v1,False,excess_replica_seconds,8,55.0,0.0,55.0,55.0,55.0,0.0
step15,primary,pair-04-location,transition_period_error,gradual-ramp-v1,False,mae_rps,8,1.0126582278481011,0.0,1.0126582278481011,1.0126582278481011,1.0126582278481011,0.0
step15,primary,pair-04-location,transition_period_error,gradual-ramp-v1,False,rmse_rps,8,2.8462722678592804,0.0,2.8462722678592804,2.8462722678592804,2.8462722678592804,0.0
step15,primary,pair-04-location,transition_period_error,gradual-ramp-v1,False,transition_mae_rps,8,1.6,0.0,1.6,1.6,1.6,0.0
step15,primary,pair-04-location,transition_period_error,gradual-ramp-v1,False,desired_replica_mae,8,0.1375,0.0,0.1375,0.1375,0.1375,0.0
step15,primary,pair-04-location,transition_period_error,gradual-ramp-v1,False,deficient_replica_seconds,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-04-location,transition_period_error,gradual-ramp-v1,False,request_p99_latency_ms,8,31.807953749999957,2.4446969104044762,31.52286499999998,30.201967499999903,32.02106999999995,1.8191025000000494
step15,primary,pair-04-location,transition_period_error,gradual-ramp-v1,False,slo_violation_seconds,8,63.125,4.421942042651783,62.0,60.5,65.0,4.5
step15,primary,pair-04-location,transition_period_error,gradual-ramp-v1,False,excess_replica_seconds,8,66.0,0.0,66.0,66.0,66.0,0.0
step15,primary,pair-05-shape,sharpened,periodic-triangle-v1,False,mae_rps,8,0.2995643137254903,0.0,0.2995643137254903,0.2995643137254903,0.2995643137254903,0.0
step15,primary,pair-05-shape,sharpened,periodic-triangle-v1,False,rmse_rps,8,0.7266810425875311,0.0,0.7266810425875311,0.7266810425875311,0.7266810425875311,0.0
step15,primary,pair-05-shape,sharpened,periodic-triangle-v1,False,transition_mae_rps,8,0.3386574566666668,0.0,0.3386574566666668,0.3386574566666668,0.3386574566666668,0.0
step15,primary,pair-05-shape,sharpened,periodic-triangle-v1,False,desired_replica_mae,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-05-shape,sharpened,periodic-triangle-v1,False,deficient_replica_seconds,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-05-shape,sharpened,periodic-triangle-v1,False,request_p99_latency_ms,8,30.849574999999966,2.713796679003689,30.696204999999967,29.67237499999998,31.704729999999962,2.0323549999999813
step15,primary,pair-05-shape,sharpened,periodic-triangle-v1,False,slo_violation_seconds,8,104.0,9.258200997725515,103.5,99.5,105.75,6.25
step15,primary,pair-05-shape,sharpened,periodic-triangle-v1,False,excess_replica_seconds,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-05-shape,smoothed,periodic-triangle-v1,False,mae_rps,8,0.2995643137254903,0.0,0.2995643137254903,0.2995643137254903,0.2995643137254903,0.0
step15,primary,pair-05-shape,smoothed,periodic-triangle-v1,False,rmse_rps,8,0.726681042587531,0.0,0.726681042587531,0.726681042587531,0.726681042587531,0.0
step15,primary,pair-05-shape,smoothed,periodic-triangle-v1,False,transition_mae_rps,8,0.3386574566666668,0.0,0.3386574566666668,0.3386574566666668,0.3386574566666668,0.0
step15,primary,pair-05-shape,smoothed,periodic-triangle-v1,False,desired_replica_mae,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-05-shape,smoothed,periodic-triangle-v1,False,deficient_replica_seconds,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-05-shape,smoothed,periodic-triangle-v1,False,request_p99_latency_ms,8,30.42767249999997,3.8040807066801086,30.02261499999998,27.535217499999966,32.20708499999999,4.671867500000026
step15,primary,pair-05-shape,smoothed,periodic-triangle-v1,False,slo_violation_seconds,8,104.5,10.323343865794095,100.0,99.75,107.0,7.25
step15,primary,pair-05-shape,smoothed,periodic-triangle-v1,False,excess_replica_seconds,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-06-timing_periodic,early_event,periodic-triangle-v1,False,mae_rps,8,6.5294117815126045,0.0,6.5294117815126045,6.5294117815126045,6.5294117815126045,0.0
step15,primary,pair-06-timing_periodic,early_event,periodic-triangle-v1,False,rmse_rps,8,7.361835586127132,0.0,7.361835586127132,7.361835586127132,7.361835586127132,0.0
step15,primary,pair-06-timing_periodic,early_event,periodic-triangle-v1,False,transition_mae_rps,8,7.653333353333332,0.0,7.653333353333332,7.653333353333332,7.653333353333332,0.0
step15,primary,pair-06-timing_periodic,early_event,periodic-triangle-v1,False,desired_replica_mae,8,0.4583333333333333,0.0,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.0
step15,primary,pair-06-timing_periodic,early_event,periodic-triangle-v1,False,deficient_replica_seconds,8,165.0,0.0,165.0,165.0,165.0,0.0
step15,primary,pair-06-timing_periodic,early_event,periodic-triangle-v1,False,request_p99_latency_ms,8,30.68057249999997,3.441548216692818,29.82187999999994,27.83071249999997,32.06483999999998,4.234127500000014
step15,primary,pair-06-timing_periodic,early_event,periodic-triangle-v1,False,slo_violation_seconds,8,104.375,4.718883039751796,104.5,102.0,105.25,3.25
step15,primary,pair-06-timing_periodic,early_event,periodic-triangle-v1,False,excess_replica_seconds,8,165.0,0.0,165.0,165.0,165.0,0.0
step15,primary,pair-06-timing_periodic,late_event,periodic-triangle-v1,False,mae_rps,8,6.5294117815126045,0.0,6.5294117815126045,6.5294117815126045,6.5294117815126045,0.0
step15,primary,pair-06-timing_periodic,late_event,periodic-triangle-v1,False,rmse_rps,8,7.361835586127132,0.0,7.361835586127132,7.361835586127132,7.361835586127132,0.0
step15,primary,pair-06-timing_periodic,late_event,periodic-triangle-v1,False,transition_mae_rps,8,7.667916686666666,0.0,7.667916686666666,7.667916686666666,7.667916686666666,0.0
step15,primary,pair-06-timing_periodic,late_event,periodic-triangle-v1,False,desired_replica_mae,8,0.4583333333333333,0.0,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.0
step15,primary,pair-06-timing_periodic,late_event,periodic-triangle-v1,False,deficient_replica_seconds,8,165.0,0.0,165.0,165.0,165.0,0.0
step15,primary,pair-06-timing_periodic,late_event,periodic-triangle-v1,False,request_p99_latency_ms,8,34.07861124999994,1.964140599574854,33.81905999999991,32.823944999999966,34.47012999999994,1.6461849999999743
step15,primary,pair-06-timing_periodic,late_event,periodic-triangle-v1,False,slo_violation_seconds,8,107.0,9.426406677899212,104.0,101.25,110.5,9.25
step15,primary,pair-06-timing_periodic,late_event,periodic-triangle-v1,False,excess_replica_seconds,8,165.0,0.0,165.0,165.0,165.0,0.0
step15,primary,pair-07-timing_spike,early_event,narrow-spike-v1,False,mae_rps,8,4.022988505747127,0.0,4.022988505747127,4.022988505747127,4.022988505747127,0.0
step15,primary,pair-07-timing_spike,early_event,narrow-spike-v1,False,rmse_rps,8,11.86611131336418,0.0,11.86611131336418,11.86611131336418,11.86611131336418,0.0
step15,primary,pair-07-timing_spike,early_event,narrow-spike-v1,False,transition_mae_rps,8,0.0,0.0,0.0,0.0,0.0,0.0
step15,primary,pair-07-timing_spike,early_event,narrow-spike-v1,False,desired_replica_mae,8,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
step15,primary,pair-07-timing_spike,early_event,narrow-spike-v1,False,deficient_replica_seconds,8,30.0,0.0,30.0,30.0,30.0,0.0
step15,primary,pair-07-timing_spike,early_event,narrow-spike-v1,False,request_p99_latency_ms,8,29.948846250000017,4.442961979339388,29.48333000000003,27.253380000000018,33.95237500000003,6.698995000000014
step15,primary,pair-07-timing_spike,early_event,narrow-spike-v1,False,slo_violation_seconds,8,11.25,6.017830648521585,11.0,7.0,14.75,7.75
step15,primary,pair-07-timing_spike,early_event,narrow-spike-v1,False,excess_replica_seconds,8,30.0,0.0,30.0,30.0,30.0,0.0
step15,primary,pair-07-timing_spike,late_event,narrow-spike-v1,False,mae_rps,8,4.022988505747127,0.0,4.022988505747127,4.022988505747127,4.022988505747127,0.0
step15,primary,pair-07-timing_spike,late_event,narrow-spike-v1,False,rmse_rps,8,11.86611131336418,0.0,11.86611131336418,11.86611131336418,11.86611131336418,0.0
step15,primary,pair-07-timing_spike,late_event,narrow-spike-v1,False,transition_mae_rps,8,35.0,0.0,35.0,35.0,35.0,0.0
step15,primary,pair-07-timing_spike,late_event,narrow-spike-v1,False,desired_replica_mae,8,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
step15,primary,pair-07-timing_spike,late_event,narrow-spike-v1,False,deficient_replica_seconds,8,30.0,0.0,30.0,30.0,30.0,0.0
step15,primary,pair-07-timing_spike,late_event,narrow-spike-v1,False,request_p99_latency_ms,8,2595.4620212500026,562.2233069520382,2475.355455000001,2128.7535600000033,2825.3394975000047,696.5859375000014
step15,primary,pair-07-timing_spike,late_event,narrow-spike-v1,False,slo_violation_seconds,8,19.875,4.940720016932176,19.5,16.75,20.75,4.0
step15,primary,pair-07-timing_spike,late_event,narrow-spike-v1,False,excess_replica_seconds,8,30.0,0.0,30.0,30.0,30.0,0.0
step15,reference,reference-oracle,oracle,gradual-ramp-v1,False,mae_rps,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,gradual-ramp-v1,False,rmse_rps,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,gradual-ramp-v1,False,transition_mae_rps,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,gradual-ramp-v1,False,desired_replica_mae,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,gradual-ramp-v1,False,deficient_replica_seconds,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,gradual-ramp-v1,False,request_p99_latency_ms,5,32.01664999999995,3.248071674378486,31.697599999999905,29.893399999999936,31.97953,2.0861300000000647
step15,reference,reference-oracle,oracle,gradual-ramp-v1,False,slo_violation_seconds,5,58.6,6.54217089351845,56.0,54.0,64.0,10.0
step15,reference,reference-oracle,oracle,gradual-ramp-v1,False,excess_replica_seconds,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,narrow-spike-v1,False,mae_rps,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,narrow-spike-v1,False,rmse_rps,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,narrow-spike-v1,False,transition_mae_rps,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,narrow-spike-v1,False,desired_replica_mae,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,narrow-spike-v1,False,deficient_replica_seconds,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,narrow-spike-v1,False,request_p99_latency_ms,5,29.416976000000016,3.6219540759001863,28.21807000000004,26.715440000000008,31.31842000000001,4.602980000000002
step15,reference,reference-oracle,oracle,narrow-spike-v1,False,slo_violation_seconds,5,8.4,5.594640292279746,7.0,5.0,8.0,3.0
step15,reference,reference-oracle,oracle,narrow-spike-v1,False,excess_replica_seconds,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,periodic-triangle-v1,False,mae_rps,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,periodic-triangle-v1,False,rmse_rps,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,periodic-triangle-v1,False,transition_mae_rps,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,periodic-triangle-v1,False,desired_replica_mae,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,periodic-triangle-v1,False,deficient_replica_seconds,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,periodic-triangle-v1,False,request_p99_latency_ms,5,29.77455599999998,3.724211369482141,28.54924999999996,28.35101,30.00012999999998,1.6491199999999822
step15,reference,reference-oracle,oracle,periodic-triangle-v1,False,slo_violation_seconds,5,101.0,7.314369419163897,97.0,96.0,103.0,7.0
step15,reference,reference-oracle,oracle,periodic-triangle-v1,False,excess_replica_seconds,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,sustained-peak-v1,False,mae_rps,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,sustained-peak-v1,False,rmse_rps,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,sustained-peak-v1,False,transition_mae_rps,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,sustained-peak-v1,False,desired_replica_mae,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,sustained-peak-v1,False,deficient_replica_seconds,5,0.0,0.0,0.0,0.0,0.0,0.0
step15,reference,reference-oracle,oracle,sustained-peak-v1,False,request_p99_latency_ms,5,35.812418000000015,2.8607634656975782,37.280550000000034,33.96913,37.46877000000002,3.4996400000000207
step15,reference,reference-oracle,oracle,sustained-peak-v1,False,slo_violation_seconds,5,11.8,9.121403400793104,8.0,8.0,9.0,1.0
step15,reference,reference-oracle,oracle,sustained-peak-v1,False,excess_replica_seconds,5,0.0,0.0,0.0,0.0,0.0,0.0
step16,secondary_safety,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,True,mae_rps,5,5.0,0.0,5.0,5.0,5.0,0.0
step16,secondary_safety,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,True,rmse_rps,5,5.0,0.0,5.0,5.0,5.0,0.0
step16,secondary_safety,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,True,transition_mae_rps,5,5.0,0.0,5.0,5.0,5.0,0.0
step16,secondary_safety,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,True,desired_replica_mae,5,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0
step16,secondary_safety,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,True,deficient_replica_seconds,5,7.0,0.0,7.0,7.0,7.0,0.0
step16,secondary_safety,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,True,request_p99_latency_ms,5,33.03354400000002,2.370540111246805,33.622720000000015,31.97507,34.63835,2.663280000000004
step16,secondary_safety,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,True,slo_violation_seconds,5,17.2,9.67987603226405,12.0,12.0,26.0,14.0
step16,secondary_safety,pair-01-direction_bias,persistent_negative_bias,sustained-peak-v1,True,excess_replica_seconds,5,17.0,0.0,17.0,17.0,17.0,0.0
step16,secondary_safety,pair-03-event_presence,missed_peak,narrow-spike-v1,True,mae_rps,5,6.0344827586206895,0.0,6.0344827586206895,6.0344827586206895,6.0344827586206895,0.0
step16,secondary_safety,pair-03-event_presence,missed_peak,narrow-spike-v1,True,rmse_rps,5,14.532958974404494,0.0,14.532958974404494,14.532958974404494,14.532958974404494,0.0
step16,secondary_safety,pair-03-event_presence,missed_peak,narrow-spike-v1,True,transition_mae_rps,5,17.5,0.0,17.5,17.5,17.5,0.0
step16,secondary_safety,pair-03-event_presence,missed_peak,narrow-spike-v1,True,desired_replica_mae,5,0.2,0.0,0.2,0.2,0.2,0.0
step16,secondary_safety,pair-03-event_presence,missed_peak,narrow-spike-v1,True,deficient_replica_seconds,5,21.0,0.0,21.0,21.0,21.0,0.0
step16,secondary_safety,pair-03-event_presence,missed_peak,narrow-spike-v1,True,request_p99_latency_ms,5,2697.312388000002,377.7961757287076,2854.296400000002,2355.5528000000004,2982.4361800000006,626.8833800000002
step16,secondary_safety,pair-03-event_presence,missed_peak,narrow-spike-v1,True,slo_violation_seconds,5,15.0,3.391164991562634,14.0,13.0,18.0,5.0
step16,secondary_safety,pair-03-event_presence,missed_peak,narrow-spike-v1,True,excess_replica_seconds,5,15.0,0.0,15.0,15.0,15.0,0.0
