run_id,source_step,phase,pair_id,condition_side,condition,workload_id,repetition,safety_enabled,mae_rps,rmse_rps,transition_mae_rps,desired_replica_mae,deficient_replica_seconds,request_p99_latency_ms,slo_violation_seconds,excess_replica_seconds
final-p02-b-r02-s0,step15,primary,pair-02-duration,b,shortened_peak,sustained-peak-v1,2,False,2.9661016949152543,10.188893920442684,0.0,0.25,90,1177.8811000000037,32,0
final-p04-b-r02-s0,step15,primary,pair-04-location,b,transition_period_error,gradual-ramp-v1,2,False,1.0126582278481011,2.8462722678592804,1.6,0.1375,0,29.836649999999977,68,66
final-oracle-ramp-r03-s0,step15,reference,reference-oracle,reference,oracle,gradual-ramp-v1,3,False,0.0,0.0,0.0,0.0,0,29.893399999999936,56,0
final-p06-a-r03-s0,step15,primary,pair-06-timing_periodic,a,early_event,periodic-triangle-v1,3,False,6.5294117815126045,7.361835586127132,7.653333353333332,0.4583333333333333,165,27.873229999999964,99,165
final-p03-b-r03-s0,step15,primary,pair-03-event_presence,b,missed_peak,narrow-spike-v1,3,False,6.0344827586206895,14.532958974404494,17.5,1.0,180,4215.051120000004,60,0
final-p07-b-r03-s0,step15,primary,pair-07-timing_spike,b,late_event,narrow-spike-v1,3,False,4.022988505747127,11.86611131336418,35.0,0.3333333333333333,30,2457.60818,30,30
final-oracle-periodic-r03-s0,step15,reference,reference-oracle,reference,oracle,periodic-triangle-v1,3,False,0.0,0.0,0.0,0.0,0,30.00012999999998,97,0
final-p02-a-r03-s0,step15,primary,pair-02-duration,a,extended_peak,sustained-peak-v1,3,False,2.9661016949152543,10.188893920442684,17.5,0.25,0,32.81304,21,90
final-p07-a-r03-s0,step15,primary,pair-07-timing_spike,a,early_event,narrow-spike-v1,3,False,4.022988505747127,11.86611131336418,0.0,0.3333333333333333,30,28.095100000000023,8,30
final-oracle-spike-r03-s0,step15,reference,reference-oracle,reference,oracle,narrow-spike-v1,3,False,0.0,0.0,0.0,0.0,0,31.31842000000001,8,0
final-p05-a-r03-s0,step15,primary,pair-05-shape,a,sharpened,periodic-triangle-v1,3,False,0.2995643137254903,0.7266810425875311,0.3386574566666668,0.0,0,32.00955999999991,105,0
final-p04-a-r03-s0,step15,primary,pair-04-location,a,stable_period_error,gradual-ramp-v1,3,False,1.0126582278481011,2.8462722678592804,0.0,0.1145833333333333,0,32.767039999999994,60,55
final-p06-b-r03-s0,step15,primary,pair-06-timing_periodic,b,late_event,periodic-triangle-v1,3,False,6.5294117815126045,7.361835586127132,7.667916686666666,0.4583333333333333,165,34.265399999999936,104,165
final-oracle-sustain-r03-s0,step15,reference,reference-oracle,reference,oracle,sustained-peak-v1,3,False,0.0,0.0,0.0,0.0,0,37.280550000000034,9,0
